predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,api_provider
skin/lip-care/dryness-dehydration,skin/lip-care/dryness-dehydration,openai/gpt-oss-20b,"{'prompt_tokens': 4727, 'completion_tokens': 205, 'total_tokens': 4932}",success,2.6564741134643555,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:42.842298,True,groq
skin/firming-anti-ageing/seruns,skin/firming-anti-ageing/seruns,openai/gpt-oss-20b,"{'prompt_tokens': 4751, 'completion_tokens': 273, 'total_tokens': 5024}",success,2.24434757232666,False,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:45.611470,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4847, 'completion_tokens': 1000, 'total_tokens': 5847}",success,1.509615421295166,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:47.644488,True,groq
hair/anti-dandruff/masks,hair/anti-dandruff/masks,openai/gpt-oss-20b,"{'prompt_tokens': 4779, 'completion_tokens': 324, 'total_tokens': 5103}",success,0.914442777633667,False,True,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ...,prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:49.079903,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4810, 'completion_tokens': 1000, 'total_tokens': 5810}",success,1.6615877151489258,False,False,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L...,prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:51.273350,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4862, 'completion_tokens': 1000, 'total_tokens': 5862}",success,2.1642885208129883,False,False,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:53.953341,True,groq
fragrance/women,fragrance/women,openai/gpt-oss-20b,"{'prompt_tokens': 4904, 'completion_tokens': 273, 'total_tokens': 5177}",success,1.6020960807800293,True,True,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:56.079951,True,groq
skin/cleansers-tonners,skin/cleansers-tonners,openai/gpt-oss-20b,"{'prompt_tokens': 4804, 'completion_tokens': 154, 'total_tokens': 4958}",success,1.0191280841827393,False,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:57.611838,True,groq
skin/cleansers-tonners/dry-skin,skin/cleansers-tonners/dry-skin,openai/gpt-oss-20b,"{'prompt_tokens': 4736, 'completion_tokens': 293, 'total_tokens': 5029}",success,0.8483130931854248,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ...,prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:10:58.989739,True,groq
skin/dark-spots/seruns,skin/dark-spots/seruns,openai/gpt-oss-20b,"{'prompt_tokens': 4809, 'completion_tokens': 157, 'total_tokens': 4966}",success,1.050227403640747,True,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha...",prompt_HCP,openai/gpt-oss-20b,False,2025-08-07T09:11:00.564593,True,groq
skin/lip-care/dryness-dehydration,skin/lip-care/dryness-dehydration,openai/gpt-oss-20b,"{'prompt_tokens': 5230, 'completion_tokens': 286, 'total_tokens': 5516}",success,0.943178653717041,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:02.037623,True,groq
skin/global-anti-aging/seruns,skin/global-anti-aging/seruns,openai/gpt-oss-20b,"{'prompt_tokens': 5254, 'completion_tokens': 246, 'total_tokens': 5500}",success,0.7678656578063965,False,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:03.340338,True,groq
skin/eye-care,skin/eye-care,openai/gpt-oss-20b,"{'prompt_tokens': 5350, 'completion_tokens': 431, 'total_tokens': 5781}",success,1.0016074180603027,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:04.864978,True,groq
hair/anti-dandruff/masks,hair/anti-dandruff/masks,openai/gpt-oss-20b,"{'prompt_tokens': 5282, 'completion_tokens': 323, 'total_tokens': 5605}",success,0.8246846199035645,False,True,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ...,prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:06.224992,True,groq
skin/global-anti-aging/specific-moisturizers,skin/global-anti-aging/specific-moisturizers,openai/gpt-oss-20b,"{'prompt_tokens': 5313, 'completion_tokens': 376, 'total_tokens': 5689}",success,2.256016731262207,False,True,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L...,prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:09.003373,True,groq
hair/masks,hair/masks,openai/gpt-oss-20b,"{'prompt_tokens': 5365, 'completion_tokens': 204, 'total_tokens': 5569}",success,0.8071677684783936,False,True,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:10.323366,True,groq
fragrance/women,fragrance/women,openai/gpt-oss-20b,"{'prompt_tokens': 5407, 'completion_tokens': 133, 'total_tokens': 5540}",success,1.8216967582702637,True,True,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:12.676916,True,groq
skin/cleansers-tonners,skin/cleansers-tonners,openai/gpt-oss-20b,"{'prompt_tokens': 5307, 'completion_tokens': 186, 'total_tokens': 5493}",success,0.5952014923095703,False,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:13.795449,True,groq
skin/cleansers-tonners,skin/cleansers-tonners,openai/gpt-oss-20b,"{'prompt_tokens': 5239, 'completion_tokens': 117, 'total_tokens': 5356}",success,1.23909592628479,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ...,prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:15.556346,True,groq
skin/dark-spots/seruns,skin/dark-spots/seruns,openai/gpt-oss-20b,"{'prompt_tokens': 5312, 'completion_tokens': 185, 'total_tokens': 5497}",success,1.5555691719055176,True,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha...",prompt_HCP_02,openai/gpt-oss-20b,False,2025-08-07T09:11:17.646233,True,groq
skin/lip-care/dryness-dehydration,skin/lip-care/dryness-dehydration,openai/gpt-oss-20b,"{'prompt_tokens': 4589, 'completion_tokens': 262, 'total_tokens': 4851}",success,1.6328659057617188,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:19.816060,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4613, 'completion_tokens': 1000, 'total_tokens': 5613}",success,2.269099473953247,False,False,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:22.605664,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4709, 'completion_tokens': 1000, 'total_tokens': 5709}",success,1.3473577499389648,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:24.475378,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4641, 'completion_tokens': 1000, 'total_tokens': 5641}",success,1.3470757007598877,False,False,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ...,prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:26.341899,True,groq
skin/moisturisers/normal-skin,skin/moisturisers/normal-skin,openai/gpt-oss-20b,"{'prompt_tokens': 4672, 'completion_tokens': 709, 'total_tokens': 5381}",success,1.3863084316253662,False,True,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L...,prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:28.246624,True,groq
hair/hair-mask/hair-mask,hair/hair-mask/hair-mask,openai/gpt-oss-20b,"{'prompt_tokens': 4724, 'completion_tokens': 486, 'total_tokens': 5210}",success,1.0812973976135254,False,True,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:29.848285,True,groq
fragrance/women/eau-de-parfum,fragrance/women/eau-de-parfum,openai/gpt-oss-20b,"{'prompt_tokens': 4766, 'completion_tokens': 957, 'total_tokens': 5723}",success,1.4043371677398682,False,True,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:31.776103,True,groq
skin/cleansers-tonners/combination-to-oily-skin,skin/cleansers-tonners/combination-to-oily-skin,openai/gpt-oss-20b,"{'prompt_tokens': 4666, 'completion_tokens': 431, 'total_tokens': 5097}",success,3.497873306274414,True,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:35.806088,True,groq
skin/cleansers-tonners/combination-to-oily-skin,skin/cleansers-tonners/combination-to-oily-skin,openai/gpt-oss-20b,"{'prompt_tokens': 4598, 'completion_tokens': 272, 'total_tokens': 4870}",success,1.6288604736328125,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ...,prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:37.953734,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4671, 'completion_tokens': 1000, 'total_tokens': 5671}",success,2.3197171688079834,False,False,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha...",prompt_reason_02,openai/gpt-oss-20b,False,2025-08-07T09:11:40.801293,True,groq
