predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4623, 'total_tokens': 5623, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,10.816430807113647,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an",prompt_HCP,o3-mini,True,2025-08-06T15:34:05.010114,True
skin/firming-anti-ageing/seruns,skin/firming-anti-ageing/seruns,o3-mini-2025-01-31,"{'completion_tokens': 472, 'prompt_tokens': 4647, 'total_tokens': 5119, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 448, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4352}}",success,6.138353586196899,False,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act",prompt_HCP,o3-mini,False,2025-08-06T15:34:11.151459,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4743, 'total_tokens': 5743, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,10.509296417236328,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her",prompt_HCP,o3-mini,False,2025-08-06T15:34:22.672689,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4675, 'total_tokens': 5675, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,9.527151346206665,False,False,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ,prompt_HCP,o3-mini,False,2025-08-06T15:34:33.222924,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4706, 'total_tokens': 5706, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4352}}",success,9.535686016082764,False,False,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L,prompt_HCP,o3-mini,False,2025-08-06T15:34:43.768031,True
hair/masks,hair/masks,o3-mini-2025-01-31,"{'completion_tokens': 208, 'prompt_tokens': 4758, 'total_tokens': 4966, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 192, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4352}}",success,2.9519522190093994,False,True,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat",prompt_HCP,o3-mini,False,2025-08-06T15:34:47.730286,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4800, 'total_tokens': 5800, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,9.779422760009766,False,False,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter",prompt_HCP,o3-mini,False,2025-08-06T15:34:58.520368,True
skin/cleansers-tonners,skin/cleansers-tonners,o3-mini-2025-01-31,"{'completion_tokens': 724, 'prompt_tokens': 4700, 'total_tokens': 5424, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 704, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4352}}",success,9.163100719451904,False,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi",prompt_HCP,o3-mini,False,2025-08-06T15:35:08.692444,True
skin/cleansers-tonners,skin/cleansers-tonners,o3-mini-2025-01-31,"{'completion_tokens': 468, 'prompt_tokens': 4632, 'total_tokens': 5100, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 448, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4352}}",success,5.677852392196655,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ,prompt_HCP,o3-mini,False,2025-08-06T15:35:15.380201,True
skin/dark-spots/seruns,skin/dark-spots/seruns,o3-mini-2025-01-31,"{'completion_tokens': 277, 'prompt_tokens': 4705, 'total_tokens': 4982, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 256, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4352}}",success,3.2313666343688965,True,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha",prompt_HCP,o3-mini,False,2025-08-06T15:35:19.624412,True
skin/lip-care,skin/lip-care,o3-mini-2025-01-31,"{'completion_tokens': 401, 'prompt_tokens': 4117, 'total_tokens': 4518, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 384, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,6.266714096069336,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an",prompt_01,o3-mini,False,2025-08-06T15:35:26.910673,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4141, 'total_tokens': 5141, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,10.124276638031006,False,False,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act",prompt_01,o3-mini,False,2025-08-06T15:35:38.048531,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4237, 'total_tokens': 5237, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,9.015722751617432,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her",prompt_01,o3-mini,False,2025-08-06T15:35:48.074903,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4169, 'total_tokens': 5169, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,10.177156686782837,False,False,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ,prompt_01,o3-mini,False,2025-08-06T15:35:59.264506,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4200, 'total_tokens': 5200, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,10.060560941696167,False,False,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L,prompt_01,o3-mini,False,2025-08-06T15:36:10.341639,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4252, 'total_tokens': 5252, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,11.4005708694458,False,False,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat",prompt_01,o3-mini,False,2025-08-06T15:36:22.758747,True
fragrance,fragrance,o3-mini-2025-01-31,"{'completion_tokens': 911, 'prompt_tokens': 4294, 'total_tokens': 5205, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 896, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,9.507407188415527,False,False,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter",prompt_01,o3-mini,False,2025-08-06T15:36:33.280833,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 4194, 'total_tokens': 5194, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,9.714742660522461,False,False,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi",prompt_01,o3-mini,False,2025-08-06T15:36:44.014377,True
skin/cleansers-tonners/dry-skin,skin/cleansers-tonners/dry-skin,o3-mini-2025-01-31,"{'completion_tokens': 664, 'prompt_tokens': 4126, 'total_tokens': 4790, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 640, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,6.587521553039551,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ,prompt_01,o3-mini,False,2025-08-06T15:36:51.613325,True
skin/dark-spots/targeted-correction,skin/dark-spots/targeted-correction,o3-mini-2025-01-31,"{'completion_tokens': 535, 'prompt_tokens': 4199, 'total_tokens': 4734, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 512, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,5.587063550949097,False,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha",prompt_01,o3-mini,False,2025-08-06T15:36:58.211199,True
sun-tan/eyes-lips-sensitive-areas,sun-tan/eyes-lips-sensitive-areas,o3-mini-2025-01-31,"{'completion_tokens': 663, 'prompt_tokens': 3803, 'total_tokens': 4466, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 640, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,6.340671062469482,True,True,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:37:05.576106,True
skin/global-anti-aging/seruns,skin/global-anti-aging/seruns,o3-mini-2025-01-31,"{'completion_tokens': 853, 'prompt_tokens': 3827, 'total_tokens': 4680, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 832, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,9.493386030197144,False,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:37:16.097632,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 3923, 'total_tokens': 4923, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,9.552420854568481,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:37:26.672966,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 3855, 'total_tokens': 4855, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,9.978951930999756,False,False,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ,prompt_reasoning_classification,o3-mini,False,2025-08-06T15:37:37.664020,True
skin/loss-firmness/specific-moisturisers,skin/loss-firmness/specific-moisturisers,o3-mini-2025-01-31,"{'completion_tokens': 409, 'prompt_tokens': 3886, 'total_tokens': 4295, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 384, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,5.32133674621582,False,True,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L,prompt_reasoning_classification,o3-mini,False,2025-08-06T15:37:43.998134,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 3938, 'total_tokens': 4938, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,8.397073745727539,False,False,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:37:53.410373,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 3980, 'total_tokens': 4980, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,8.691791534423828,False,False,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:38:03.130021,True
skin/cleansers-tonners/combination-to-oily-skin,skin/cleansers-tonners/combination-to-oily-skin,o3-mini-2025-01-31,"{'completion_tokens': 924, 'prompt_tokens': 3880, 'total_tokens': 4804, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 896, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,7.983773231506348,True,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:38:12.127860,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 3812, 'total_tokens': 4812, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,9.211753606796265,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ,prompt_reasoning_classification,o3-mini,False,2025-08-06T15:38:22.355760,True
skin/targeted-correction/lightness-anti-spots,skin/targeted-correction/lightness-anti-spots,o3-mini-2025-01-31,"{'completion_tokens': 665, 'prompt_tokens': 3885, 'total_tokens': 4550, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 640, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3584}}",success,6.645755052566528,False,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha",prompt_reasoning_classification,o3-mini,False,2025-08-06T15:38:30.019441,True
